index,query,answer,category
340.0,"{'pid': '716', 'question': 'Find y.', 'image': 'images/716.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=427x196 at 0x7CB155F5DF60>, 'choices': ['16 \\sqrt { 2 }', '16 \\sqrt { 3 }', '32', '16 \\sqrt { 5 }'], 'unit': None, 'precision': None, 'answer': '16 \\sqrt { 5 }', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 196, 'img_width': 427, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find y.\nChoices:\n(A) 16 \\sqrt { 2 }\n(B) 16 \\sqrt { 3 }\n(C) 32\n(D) 16 \\sqrt { 5 }'}",The answer: 16 \sqrt { 2 }. A.,The task: GPS.
341.0,"{'pid': '717', 'question': 'Is \\int_1^{\\infty} {1\\over x^{0.99}} dx finite according to this graph ?\n', 'image': 'images/717.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=314x350 at 0x7CB155F5DF90>, 'choices': ['Yes', 'No'], 'unit': None, 'precision': None, 'answer': 'No', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 350, 'img_width': 314, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Is \\int_1^{\\infty} {1\\over x^{0.99}} dx finite according to this graph ?\n\nChoices:\n(A) Yes\n(B) No'}",The answer: No. B.,"The task : FQA.
(B)"
342.0,"{'pid': '718', 'question': ""Jeffrey is the proud owner of an eclectic bow tie collection. He keeps track of how many bow ties he has, and organizes them by pattern and material. What is the probability that a randomly selected bow tie is designed with swirls and is made of velvet? Simplify any fractions.'"", 'image': 'images/718.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=215x94 at 0x7CB155F5E110>, 'choices': None, 'unit': None, 'precision': 2.0, 'answer': '0.21', 'question_type': 'free_form', 'answer_type': 'float', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 94, 'img_width': 215, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': ""Hint: Please answer the question requiring a floating-point number with two decimal places and provide the final value, e.g., 1.23, 1.34, 1.45, at the end.\nQuestion: Jeffrey is the proud owner of an eclectic bow tie collection. He keeps track of how many bow ties he has, and organizes them by pattern and material. What is the probability that a randomly selected bow tie is designed with swirls and is made of velvet? Simplify any fractions.'""}",The answer: 0.25.,The task : MWP.
343.0,"{'pid': '719', 'question': ""Brenda graphed the daily low temperature for 5 days. What is the range of the numbers?'"", 'image': 'images/719.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=225x218 at 0x7CB155F5D4E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '13', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'elementary school', 'img_height': 218, 'img_width': 225, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': ""Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Brenda graphed the daily low temperature for 5 days. What is the range of the numbers?'""}",The answer: 13.,"The task : MWP.
13"
344.0,"{'pid': '720', 'question': 'When does the function value first reach 2?', 'image': 'images/720.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=362x350 at 0x7CB155F5E200>, 'choices': None, 'unit': None, 'precision': None, 'answer': '2', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 350, 'img_width': 362, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: When does the function value first reach 2?'}",The answer: 1.,"The task : FQA.
1"
345.0,"{'pid': '721', 'question': 'How many odd functions are in the graph?', 'image': 'images/721.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=441x297 at 0x7CB155F5E200>, 'choices': None, 'unit': None, 'precision': None, 'answer': '4', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 297, 'img_width': 441, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: How many odd functions are in the graph?'}",The answer: 2.,The task: FQA.
346.0,"{'pid': '723', 'question': 'Is the function convex?', 'image': 'images/723.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=468x277 at 0x7CB155F5E110>, 'choices': ['Yes', 'No'], 'unit': None, 'precision': None, 'answer': 'No', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 277, 'img_width': 468, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Is the function convex?\nChoices:\n(A) Yes\n(B) No'}",The answer: No. (B),The task : FQA.
347.0,"{'pid': '725', 'question': ""In Figure, suppose that Barbara's velocity relative to Alex is a constant $v_{B A}=52 \\mathrm{~km} / \\mathrm{h}$ and car $P$ is moving in the negative direction of the $x$ axis.\r\n(a) If Alex measures a constant $v_{P A}=-78 \\mathrm{~km} / \\mathrm{h}$ for car $P$, what velocity $v_{P B}$ will Barbara measure?"", 'image': 'images/725.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=976x690 at 0x7CB155F5DF90>, 'choices': None, 'unit': None, 'precision': None, 'answer': '-130', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'scientific figure', 'grade': 'college', 'img_height': 690, 'img_width': 976, 'language': 'english', 'skills': ['scientific reasoning'], 'source': 'SciBench', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': ""Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: In Figure, suppose that Barbara's velocity relative to Alex is a constant $v_{B A}=52 \\mathrm{~km} / \\mathrm{h}$ and car $P$ is moving in the negative direction of the $x$ axis.\r\n(a) If Alex measures a constant $v_{P A}=-78 \\mathrm{~km} / \\mathrm{h}$ for car $P$, what velocity $v_{P B}$ will Barbara measure?""}",The answer: -130.,The task : FQA.
348.0,"{'pid': '726', 'question': 'Find x. Assume that any segment that appears to be tangent is tangent.', 'image': 'images/726.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=228x199 at 0x7CB155F5E080>, 'choices': ['10', '30', '90', '120'], 'unit': None, 'precision': None, 'answer': '10', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 199, 'img_width': 228, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find x. Assume that any segment that appears to be tangent is tangent.\nChoices:\n(A) 10\n(B) 30\n(C) 90\n(D) 120'}",The answer: 30. (B),The task: GPS.
349.0,"{'pid': '728', 'question': 'Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long.', 'image': 'images/728.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=342x69 at 0x7CB155F5D810>, 'choices': None, 'unit': None, 'precision': None, 'answer': '7', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'abstract scene', 'grade': 'elementary school', 'img_height': 69, 'img_width': 342, 'language': 'english', 'skills': ['numeric commonsense'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long.'}",The answer: 8.,The task : FQA.
350.0,"{'pid': '731', 'question': 'The train conductor made sure to count the number of passengers on each train. What is the smallest number of passengers? (Unit: passengers)', 'image': 'images/731.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=159x180 at 0x7CB155F5D4E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '40', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 180, 'img_width': 159, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: The train conductor made sure to count the number of passengers on each train. What is the smallest number of passengers? (Unit: passengers)'}",The answer: 40.,The task : MWP.
351.0,"{'pid': '733', 'question': 'Square ABCD. CT: tangent to semicircle. Find the angle ∠CTD. Return the numeric value.', 'image': 'images/733.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=972x1018 at 0x7CB155F5E080>, 'choices': None, 'unit': None, 'precision': 1.0, 'answer': '63.4', 'question_type': 'free_form', 'answer_type': 'float', 'metadata': {'category': 'math-targeted-vqa', 'context': 'scientific figure', 'grade': 'college', 'img_height': 1018, 'img_width': 972, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'TheoremQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.\nQuestion: Square ABCD. CT: tangent to semicircle. Find the angle ∠CTD. Return the numeric value.'}",The answer: 45.0.,"The task: GPS.
45.0"
352.0,"{'pid': '737', 'question': 'Find the perimeter of the parallelogram.', 'image': 'images/737.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=352x179 at 0x7CB155F5E200>, 'choices': ['32', '39', '46', '78'], 'unit': None, 'precision': None, 'answer': '78', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 179, 'img_width': 352, 'language': 'english', 'skills': ['geometry reasoning', 'arithmetic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find the perimeter of the parallelogram.\nChoices:\n(A) 32\n(B) 39\n(C) 46\n(D) 78'}",The answer: 78. (D),"The task : GPS.
C"
353.0,"{'pid': '738', 'question': 'Is this function continuous?', 'image': 'images/738.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=383x268 at 0x7CB155F5E200>, 'choices': ['Yes', 'No'], 'unit': None, 'precision': None, 'answer': 'No', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 268, 'img_width': 383, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Is this function continuous?\nChoices:\n(A) Yes\n(B) No'}",The answer: B.,The task : FQA.
354.0,"{'pid': '739', 'question': 'How much money does Hannah need to buy a baking dish and a cookie jar? (Unit: $)', 'image': 'images/739.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=201x160 at 0x7CB155F5E200>, 'choices': None, 'unit': None, 'precision': None, 'answer': '23', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 160, 'img_width': 201, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: How much money does Hannah need to buy a baking dish and a cookie jar? (Unit: $)'}",The answer: 23.,"The task : MWP.
23"
355.0,"{'pid': '742', 'question': 'Move the ruler to measure the length of the twig to the nearest inch. The twig is about (_) inches long.', 'image': 'images/742.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=438x159 at 0x7CB155F5E080>, 'choices': None, 'unit': None, 'precision': None, 'answer': '3', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'abstract scene', 'grade': 'elementary school', 'img_height': 159, 'img_width': 438, 'language': 'english', 'skills': ['numeric commonsense'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Move the ruler to measure the length of the twig to the nearest inch. The twig is about (_) inches long.'}",The answer: 4.,The task : FQA.
356.0,"{'pid': '744', 'question': 'If RL = 5, RT = 9, and WS = 6, find RW.', 'image': 'images/744.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=404x199 at 0x7CB155F5E080>, 'choices': ['5.4', '6', '6.6', '7.5'], 'unit': None, 'precision': None, 'answer': '7.5', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 199, 'img_width': 404, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: If RL = 5, RT = 9, and WS = 6, find RW.\nChoices:\n(A) 5.4\n(B) 6\n(C) 6.6\n(D) 7.5'}",The answer: 7.5. (D),"The task : GPS.
C"
357.0,"{'pid': '746', 'question': 'Mrs. Zimmerman hosts an annual art contest for kids, and she keeps a record of the number of entries each year. According to the table, what was the rate of change between 2013 and 2014? (Unit: entries per year)', 'image': 'images/746.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=199x218 at 0x7CB155F5DD50>, 'choices': None, 'unit': None, 'precision': None, 'answer': '7', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'table', 'grade': 'high school', 'img_height': 218, 'img_width': 199, 'language': 'english', 'skills': ['arithmetic reasoning', 'statistical reasoning'], 'source': 'TabMWP', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Mrs. Zimmerman hosts an annual art contest for kids, and she keeps a record of the number of entries each year. According to the table, what was the rate of change between 2013 and 2014? (Unit: entries per year)'}",The answer: 7.,The task : MWP.
358.0,"{'pid': '747', 'question': 'In $\\odot M$, $FL=24,HJ=48$, and $m \\widehat {HP}=65$. Find $m \\widehat {HJ}$.', 'image': 'images/747.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=507x467 at 0x7CB155F5DD50>, 'choices': ['65', '120', '130', '155'], 'unit': None, 'precision': None, 'answer': '130', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 467, 'img_width': 507, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: In $\\odot M$, $FL=24,HJ=48$, and $m \\widehat {HP}=65$. Find $m \\widehat {HJ}$.\nChoices:\n(A) 65\n(B) 120\n(C) 130\n(D) 155'}",The answer: 130. (C),The task: GPS.
359.0,"{'pid': '748', 'question': 'As shown in the figure, PA and PB are tangents of ⊙O, the tangent point of point A and B, AC is the diameter of ⊙O, given that ∠P = 50.0, then the size of ∠ACB is ()', 'image': 'images/748.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=207x117 at 0x7CB155F5CD90>, 'choices': ['65°', '60°', '55°', '50°'], 'unit': None, 'precision': None, 'answer': '65°', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 117, 'img_width': 207, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, PA and PB are tangents of ⊙O, the tangent point of point A and B, AC is the diameter of ⊙O, given that ∠P = 50.0, then the size of ∠ACB is ()\nChoices:\n(A) 65°\n(B) 60°\n(C) 55°\n(D) 50°'}",The answer: 65°. (A),"The task : GPS.
C"
360.0,"{'pid': '749', 'question': 'As shown in the figure, in △ABC, DE ∥ BC, if AB = 7.0, AC = 5.0, AD = 3.0, then DE = ()', 'image': 'images/749.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=181x98 at 0x7CB155F5DFF0>, 'choices': ['\\frac{15}{4}cm', '\\frac{20}{3}cm', '\\frac{15}{7}cm', '\\frac{20}{7}cm'], 'unit': None, 'precision': None, 'answer': '\\frac{20}{7}cm', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 98, 'img_width': 181, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, in △ABC, DE ∥ BC, if AB = 7.0, AC = 5.0, AD = 3.0, then DE = ()\nChoices:\n(A) \\frac{15}{4}cm\n(B) \\frac{20}{3}cm\n(C) \\frac{15}{7}cm\n(D) \\frac{20}{7}cm'}",The answer: \(\frac{20}{7}cm\). (D),The task : GPS.
361.0,"{'pid': '750', 'question': 'Which number is missing?', 'image': 'images/750.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=290x356 at 0x7CB155F5E350>, 'choices': None, 'unit': None, 'precision': None, 'answer': '18', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'puzzle test', 'grade': 'elementary school', 'img_height': 356, 'img_width': 290, 'language': 'english', 'skills': ['logical reasoning', 'arithmetic reasoning'], 'source': 'IQTest', 'split': 'testmini', 'task': 'figure question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Which number is missing?'}",The answer: 7.,"The task : FQA.
7"
362.0,"{'pid': '755', 'question': 'What is this function most likely be?', 'image': 'images/755.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=1430x776 at 0x7CB155F5E3E0>, 'choices': ['a polynomial', 'a trigonometric function', 'an exponential function', 'a logarithmic function'], 'unit': None, 'precision': None, 'answer': 'a polynomial', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 776, 'img_width': 1430, 'language': 'english', 'skills': ['algebraic reasoning', 'statistical reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: What is this function most likely be?\nChoices:\n(A) a polynomial\n(B) a trigonometric function\n(C) an exponential function\n(D) a logarithmic function'}",The answer: A.,The task: FQA.
363.0,"{'pid': '757', 'question': 'Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.', 'image': 'images/757.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=220x165 at 0x7CB155F5E020>, 'choices': ['7.2', '8', '12', '15'], 'unit': None, 'precision': None, 'answer': '7.2', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 165, 'img_width': 220, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'Geometry3K', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: Find x to the nearest tenth. Assume that segments that appear to be tangent are tangent.\nChoices:\n(A) 7.2\n(B) 8\n(C) 12\n(D) 15'}",The answer: 7.2. A,"The task: GPS.
C"
364.0,"{'pid': '759', 'question': 'Move the ruler to measure the length of the nail to the nearest inch. The nail is about (_) inches long.', 'image': 'images/759.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGB size=438x201 at 0x7CB155F5E3E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '2', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'abstract scene', 'grade': 'elementary school', 'img_height': 201, 'img_width': 438, 'language': 'english', 'skills': ['numeric commonsense'], 'source': 'IconQA', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Move the ruler to measure the length of the nail to the nearest inch. The nail is about (_) inches long.'}",The answer: 3.,The task : FQA.
365.0,"{'pid': '762', 'question': 'What is the center of symmetry of this function?', 'image': 'images/762.jpg', 'decoded_image': <PIL.WebPImagePlugin.WebPImageFile image mode=RGB size=500x395 at 0x7CB155F5DBA0>, 'choices': ['(0, 0)', '(-1, 0)', '(2, 0)'], 'unit': None, 'precision': None, 'answer': '(0, 0)', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 395, 'img_width': 500, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: What is the center of symmetry of this function?\nChoices:\n(A) (0, 0)\n(B) (-1, 0)\n(C) (2, 0)'}","The answer: (0, 0). A.",The task : GPS.
366.0,"{'pid': '763', 'question': 'Subtract all tiny shiny balls. Subtract all purple objects. How many objects are left?', 'image': 'images/763.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=320x240 at 0x7CB155F5DD20>, 'choices': None, 'unit': None, 'precision': None, 'answer': '8', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'synthetic scene', 'grade': 'elementary school', 'img_height': 240, 'img_width': 320, 'language': 'english', 'skills': ['arithmetic reasoning'], 'source': 'CLEVR-Math', 'split': 'testmini', 'task': 'math word problem'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: Subtract all tiny shiny balls. Subtract all purple objects. How many objects are left?'}",The answer: 7.,"The task : FQA.
5"
367.0,"{'pid': '767', 'question': 'What is the maximum value of y?', 'image': 'images/767.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=483x429 at 0x7CB155F5E3E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '5', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 429, 'img_width': 483, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: What is the maximum value of y?'}",The answer: 5.,The task: GPS.
368.0,"{'pid': '770', 'question': 'What is the amplitude of this function?', 'image': 'images/770.jpg', 'decoded_image': <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=482x276 at 0x7CB155F5E3E0>, 'choices': None, 'unit': None, 'precision': None, 'answer': '1', 'question_type': 'free_form', 'answer_type': 'integer', 'metadata': {'category': 'math-targeted-vqa', 'context': 'function plot', 'grade': 'college', 'img_height': 276, 'img_width': 482, 'language': 'english', 'skills': ['algebraic reasoning'], 'source': 'FunctionQA', 'split': 'testmini', 'task': 'textbook question answering'}, 'query': 'Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.\nQuestion: What is the amplitude of this function?'}",The answer: 1.,The task : FQA.
369.0,"{'pid': '773', 'question': 'As shown in the figure, AB is the diameter of ⊙O, point D is on the extended line of AB, passing point D is the tangent of ⊙O, and the tangent point is C, if ∠A = 25.0, then ∠D = ()', 'image': 'images/773.jpg', 'decoded_image': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=163x117 at 0x7CB155F5E2C0>, 'choices': ['25°', '40°', '50°', '65°'], 'unit': None, 'precision': None, 'answer': '40°', 'question_type': 'multi_choice', 'answer_type': 'text', 'metadata': {'category': 'math-targeted-vqa', 'context': 'geometry diagram', 'grade': 'high school', 'img_height': 117, 'img_width': 163, 'language': 'english', 'skills': ['geometry reasoning', 'algebraic reasoning'], 'source': 'UniGeo', 'split': 'testmini', 'task': 'geometry problem solving'}, 'query': 'Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.\nQuestion: As shown in the figure, AB is the diameter of ⊙O, point D is on the extended line of AB, passing point D is the tangent of ⊙O, and the tangent point is C, if ∠A = 25.0, then ∠D = ()\nChoices:\n(A) 25°\n(B) 40°\n(C) 50°\n(D) 65°'}",The answer: 65°. (D),"The task : GPS.
D"
